symbol,decision_ts,decision,reason_raw,reason_canonical,schema_ok,meta_ok,strat_ok
4USDT,2026-02-08T23:45:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AAVEUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
ACEUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
ACHUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
ACTUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
ADAUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AERGOUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AEROUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AEVOUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AGIUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AGLDUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AINUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AIOUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AIOZUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AIXBTUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AKEUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
AKTUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
ALCHUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
ALGOUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
ALICEUSDT,2026-02-08T23:50:00+00:00,skipped,no_prob_gate,strategy_fail,true,true,false
