pr_auc,brier,fold,n_train,n_test
0.6541234751417729,0.29716203280194836,1,900,339
0.6238627764168331,0.3006621566558971,2,787,339
0.6666259368923677,0.2855729560724659,3,674,339
0.5488390996695437,0.3077775252249346,4,674,339
0.6313950671220219,0.2778958375361841,5,674,339
0.5986406879805866,0.31177365686255504,6,675,339
0.6693257887435711,0.27283731136173733,7,676,338
0.5566648979272157,0.3071382682140887,8,677,338
0.6565477590769753,0.2881924436718776,9,677,338
0.5790270155132107,0.30287183078975616,10,789,338
0.6392079549939276,0.3034340258230674,11,787,339
0.6566110323311546,0.29379274964232,12,674,339
0.5462242947925076,0.3256435083017364,13,561,339
0.61482517512747,0.2765537615326068,14,561,339
0.6293188593435735,0.29850493893965035,15,562,339
0.7025192544422587,0.2513636721009766,16,563,338
0.6405270105817276,0.28209027330361003,17,564,338
0.7058614097777054,0.2987671783982878,18,564,338
0.6431924788674153,0.30938874427858193,19,676,338
0.6695918133367534,0.30835193505443076,20,674,339
0.5311493563575154,0.3443479181248176,21,561,339
0.5571176498237972,0.3144784175201016,22,448,339
0.6285884564392861,0.2983375300055134,23,449,339
0.6501437308789402,0.2692614609535513,24,450,338
0.5663414926696745,0.2861401585385311,25,451,338
0.674442554183875,0.3045519531561692,26,451,338
0.5886531608518258,0.31977223894360174,27,563,338
0.5514877486571559,0.3065628459396097,28,674,339
0.5763621691648684,0.280129594696084,29,561,339
0.6401646825523674,0.30788282670740313,30,449,339
