feature,importance_mean_weighted
f11,0.01848488454229891
f22,0.011180814242102814
f18,0.009826442726968797
f16,0.0045661838647368495
f0,0.0024096490231791333
f5,0.0020176470433143
f8,0.0013303891218320752
f29,0.0008336293986574393
f30,0.00019202288442845706
f24,0.00010424885162745311
f28,0.0
f23,0.0
f19,0.0
f4,0.0
f27,0.0
f26,-4.667569865497663e-05
f25,-0.0002557961638879725
f2,-0.000697506775418722
f21,-0.0014822104419537452
f7,-0.001543248109700641
f1,-0.0016080680157889418
f17,-0.0016369936001898984
f12,-0.0019729296312841916
f15,-0.0024100720398378592
f9,-0.0025222465941056073
f10,-0.0029508712752948528
f13,-0.0031613052231133903
f3,-0.0032701085834335956
f6,-0.003422739543036562
f20,-0.00798495863394506
f14,-0.012892267456839432
