pr_auc,brier,fold,n_train,n_test
0.6350551148416703,0.2707254844361171,1,5048,1896
0.6143861311994665,0.2792470393133669,2,4417,1896
0.6162017992941995,0.2878341744979122,3,3786,1895
0.5745233746990168,0.28395619951608275,4,3787,1895
0.5981622032142421,0.2805305884709144,5,3787,1895
0.6240463959252447,0.273627630689881,6,3787,1895
0.5905658559553979,0.28228413288417525,7,3787,1895
0.6533850130258885,0.26724736419246553,8,3787,1895
0.6279182059488357,0.27241055589238206,9,3787,1895
0.6091032725863855,0.27286059401045776,10,4418,1895
0.6258018638859013,0.2863240320781086,11,4417,1896
0.6397353729902496,0.29073549181285474,12,3786,1895
0.6031176157206033,0.29057292670937473,13,3155,1895
0.6099161307056703,0.2872588331765508,14,3155,1895
0.649217316753218,0.2754469338595119,15,3155,1895
0.6063559537794598,0.2876353466054394,16,3155,1895
0.6565185798269637,0.27318203174553923,17,3155,1895
0.6472176917788836,0.2792969321472594,18,3155,1895
0.6143794459298614,0.2855475131151106,19,3786,1895
0.6229971288386753,0.2926224733029942,20,3786,1895
0.5803890678235993,0.295027803598651,21,3155,1895
0.5862190677499574,0.29622472082619306,22,2524,1895
0.6158925440521016,0.2870485216696061,23,2524,1895
0.5906480070699638,0.2938591574587711,24,2524,1895
0.661068820576985,0.2766037952205672,25,2524,1895
0.6320868494109286,0.2871239592603026,26,2524,1895
0.6066886287539193,0.29267523189171335,27,3155,1895
0.6015249968914261,0.2856211672926927,28,3787,1894
0.6122594082848434,0.28634355104738335,29,3156,1894
0.6275407377368778,0.28596059878480173,30,2525,1894
