feature,importance_mean_weighted
f11,0.03042678687666234
f7,0.011034080496208297
f6,0.005716268021479575
f15,0.005273545901605701
f12,0.004938087046840399
f3,0.004341594855019374
f27,0.004238604490290055
f23,0.0018974188780024775
f17,0.001762490760743897
f10,0.001526455378934095
f25,0.0012018128069378046
f13,0.0011669401401086773
f22,0.0011297032499430876
f29,0.0009390275161274817
f24,0.0008411181429875061
f28,0.0005071151867622612
f16,0.000389067940228864
f8,0.0003488780956851212
f18,0.00019003437180581685
f39,0.00010606287179384872
f20,7.237340078656972e-05
f38,5.1462247181877136e-05
f21,1.6519518308463703e-05
f37,1.5255767354359913e-05
f40,8.451266607609978e-06
f34,0.0
f36,0.0
f35,0.0
f31,0.0
f33,0.0
f32,0.0
f30,0.0
f14,0.0
f4,0.0
f19,-8.034233937658766e-06
f9,-1.2329860507361218e-05
f2,-0.0002901612464389716
f0,-0.00031279584673208564
f26,-0.00041331131547565187
f5,-0.0004791910173572879
f1,-0.0007239682386647603
