feature,mean_abs_shap_weighted
f15,0.1932464856061085
f22,0.14085209445984484
f18,0.11383567900039011
f16,0.10868397032841051
f3,0.1006096957569945
f20,0.07858622734821993
f14,0.07524572099304283
f1,0.06908570840017329
f7,0.06618771533640169
f12,0.059187471507300984
f13,0.05889808342248479
f0,0.05880501284228967
f11,0.05790042467030657
f6,0.057376148886057514
f5,0.026328750948195506
f17,0.024079443276623508
f10,0.020809732167429495
f9,0.01997101345824725
f21,0.0197216626649795
f8,0.011902183943729779
f2,0.011857289246964905
f29,0.005719427172458763
f25,0.0017023875814255933
f19,0.0
f28,0.0
f26,0.0
f24,0.0
f23,0.0
f27,0.0
f4,0.0
f30,0.0
