feature,importance_mean_weighted
f22,0.015350823609049278
f15,0.011812729286377699
f18,0.008638678391906665
f16,0.0070747511178771766
f11,0.004452236003788522
f0,0.003784521753326165
f20,0.002503142344171019
f5,0.0017421121519544229
f6,0.0016206986216416347
f29,0.0010155304973936542
f17,0.0008341799937650997
f12,0.0006532080156995933
f9,0.0004067757472558007
f21,0.0003546230575238454
f25,0.0001764377551670708
f8,7.800100302261052e-05
f10,6.040396839479899e-05
f28,0.0
f24,0.0
f19,0.0
f27,0.0
f26,0.0
f23,0.0
f30,0.0
f4,0.0
f14,-0.0006027817037909131
f7,-0.0006621810869839343
f2,-0.0013177717720101105
f13,-0.00233312606888643
f3,-0.0026834533321206753
f1,-0.005964265606758756
