feature,importance_mean_weighted
f22,0.016077752453633118
f11,0.008691828333326533
f7,0.006927485357310069
f18,0.00605766380831306
f29,0.0019442450995581673
f17,0.0017245258907430739
f10,0.0016510926952231011
f16,0.0012415896947030488
f0,0.00040765956104428774
f30,0.0003735860015176891
f20,0.00014961185216281057
f26,4.52517484221711e-05
f19,0.0
f28,0.0
f27,0.0
f4,0.0
f23,0.0
f24,-1.7736938869266956e-05
f25,-5.4149737241975076e-05
f5,-0.0005995754632248468
f2,-0.000717571974389227
f9,-0.0008666217956340613
f21,-0.0009063857635179944
f13,-0.0015268063500480514
f6,-0.0022861531736626454
f1,-0.0025258315087942768
f8,-0.0025289452976914118
f15,-0.003298975656997723
f12,-0.005036296525008244
f14,-0.005764595255262339
f3,-0.009299215817583329
