pr_auc,brier,fold,n_train,n_test
0.6791400733275121,0.29249320842253684,1,853,321
0.6138329904282367,0.3096227718546945,2,746,321
0.6752478110550459,0.29673035196114095,3,639,321
0.5386536081534347,0.31267287697446666,4,639,321
0.6081814275408861,0.29344308042428086,5,639,321
0.6270268172668386,0.2922261718736815,6,639,321
0.6808773449107499,0.26728703043580915,7,640,321
0.5399785294319608,0.3049071144307107,8,641,320
0.5880114674620238,0.3006419824075709,9,642,320
0.553155935128135,0.3120117760748775,10,748,320
0.6343032443639038,0.298341172830284,11,746,321
0.6869429878726885,0.2850950197149036,12,639,321
0.5597237296399045,0.3148319105315717,13,532,321
0.6452903364615756,0.27221246501758006,14,532,321
0.6419815550671915,0.2797765913758322,15,532,321
0.726558680255019,0.2391418344779778,16,533,321
0.6050910915253351,0.28056368761079514,17,534,320
0.676267763373797,0.29181468073580935,18,535,320
0.6273065778966298,0.29996913869386016,19,641,320
0.653014539729366,0.30678337426663616,20,639,321
0.5085205595422511,0.3636817854242342,21,532,321
0.5271575427070556,0.32375723406134976,22,425,321
0.5919648352981163,0.2972465974655266,23,425,321
0.6512938251361198,0.28470811529850276,24,426,321
0.5411106782358006,0.29592309670619243,25,427,320
0.5983082813712226,0.28714736962521414,26,428,320
0.543390175413257,0.30915130741897895,27,534,320
0.5704318773437108,0.31255874468820816,28,639,321
0.6277582499948715,0.263337316369243,29,532,321
0.6662007043245157,0.2832829453249185,30,425,321
