feature,importance_mean_weighted
f11,0.010998936740070818
f18,0.007674323919579354
f22,0.007625442648352491
f17,0.0029946294346057008
f16,0.0029489807028284546
f0,0.002767250419470842
f5,0.001824279282752257
f9,0.001146460010489554
f29,0.0007409993355470941
f12,0.0005773085672492321
f10,0.00044138174882113555
f30,9.384793108486997e-05
f25,8.919130342712747e-05
f19,0.0
f24,0.0
f27,0.0
f28,0.0
f4,0.0
f23,0.0
f26,-5.864697851651141e-05
f2,-0.00041656971845817136
f8,-0.00043201815260784183
f15,-0.0005319787288157258
f7,-0.0007834541002082317
f1,-0.0009322233697676485
f21,-0.0011700697311511337
f13,-0.002757774620738716
f6,-0.00293395922515542
f20,-0.0043226988928735475
f3,-0.004872392071037912
f14,-0.016102944600663527
